,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,1.5441251603143208e-06,1093.4931728503468,8.0,640.0,20.0,126.25532810342014,20.0,120.18727896058584,0.001673049069227014
1,1.5441858897206784e-06,1093.450524993235,8.0,640.0,20.0,126.25778771262144,20.0,120.1875254268129,0.0016730490129050145
2,1.5442032439906605e-06,1093.4383667332004,8.0,640.0,20.0,126.25848893638455,20.0,120.19028787843769,0.001673049040573351
3,1.544208325613761e-06,1093.4347732300719,8.0,640.0,20.0,126.25869619275645,20.0,120.18777922754154,0.001673048997081334
4,1.544225598630145e-06,1093.422654305789,8.0,640.0,20.0,126.25939516289768,20.0,120.1876508503026,0.0016730489969148175
5,1.5442374388330254e-06,1093.4143570694666,8.0,640.0,20.0,126.2598737203525,20.0,120.18872554993048,0.001673049011955882
6,1.5442469533884268e-06,1093.4076518074096,8.0,640.0,20.0,126.26026046190142,20.0,120.18586413362696,0.0016730489655813019
7,1.5442545214535218e-06,1093.4023530240502,8.0,640.0,20.0,126.26056608404875,20.0,120.18667875441886,0.0016730489822107742
8,1.5442559328558482e-06,1093.4013487544257,8.0,640.0,20.0,126.26062400835372,20.0,120.19022535821216,0.0016730489604780499
9,1.5442575474840224e-06,1093.4002451153933,8.0,640.0,20.0,126.26068766419422,20.0,120.18880141569552,0.001673049005465486
10,1.5442619427381748e-06,1093.3971286031979,8.0,640.0,20.0,126.26086741929508,20.0,120.1898433162348,0.0016730489545737346
11,1.5442635404724547e-06,1093.3960047211244,8.0,640.0,20.0,126.26093224308376,20.0,120.1861544620832,0.0016730489499843558
12,1.5442643744731754e-06,1093.3954328159393,8.0,640.0,20.0,126.26096522973714,20.0,120.18705861357168,0.0016730489703646017
13,1.5442835248495157e-06,1093.3819934891246,8.0,640.0,20.0,126.26174039777723,20.0,120.18656360503869,0.0016730489636638806
14,1.5442836341060177e-06,1093.3819203228543,8.0,640.0,20.0,126.26174461798043,20.0,120.18832157775785,0.0016730489690409335
15,1.544285697305034e-06,1093.3804686769329,8.0,640.0,20.0,126.26182834844674,20.0,120.18753115758744,0.0016730489625174118
16,1.5442879267686369e-06,1093.3788965392573,8.0,640.0,20.0,126.26191902902478,20.0,120.18936319104012,0.0016730489500415033
17,1.5442964133983295e-06,1093.3729490124342,8.0,640.0,20.0,126.2622620829268,20.0,120.18898058348988,0.0016730489595326735
18,1.5443025479455857e-06,1093.3686466526585,8.0,640.0,20.0,126.26251024517816,20.0,120.18713283932324,0.0016730489613900614
19,1.5443072783271024e-06,1093.3653433342574,8.0,640.0,20.0,126.26270078322217,20.0,120.19084922207983,0.0016730489847984339
20,1.5443088592886536e-06,1093.364234404749,8.0,640.0,20.0,126.26276474735418,20.0,120.19156758061251,0.0016730489850277233
21,1.7349308536278493e-06,9.999999999999813,8.0,640.0,1.673409546391305,110.47820942169821,1.0,120.11501494858784,3.235949102114762e-19
22,1.799375529898581e-06,9.999999999993069,8.0,640.0,1.6584151400288678,109.48888049570084,1.0,120.14654727799105,1.2472091479879068e-17
23,1.8663710767957639e-06,10.000000000003777,8.0,640.0,1.644682699807758,108.5827931322781,1.0,120.13783636548708,7.048415023667677e-18
24,2.486246385692166e-06,9.99999999999623,8.0,640.0,1.559878320171147,102.98681801203585,1.2632001132625623,120.16827244400702,9.371729757459194e-18
